,Power [kW],Temperature [°C],Holiday,Hour,Day_of_the_week,Month,working_day,logtemp,Power-1
5071,353.051426,22.49083333333333,0.0,16,0,9,1,3.113107818790022,366.976155
5072,316.6991555,20.9325,0.0,17,0,9,1,3.0413029750964498,353.051426
5073,235.6209401,19.388333333333335,0.0,18,0,9,1,2.96467151060062,316.6991555
5074,192.9438329,17.871666666666666,0.0,19,0,9,1,2.883216591003999,235.6209401
5075,159.4889023,16.845833333333335,0.0,20,0,9,1,2.8241033462987795,192.9438329
5076,150.4268402,16.115833333333335,0.0,21,0,9,1,2.7798022255862067,159.4889023
5077,144.9316687,15.985833333333332,0.0,22,0,9,1,2.771702913360246,150.4268402
5078,142.0797469,15.578333333333333,0.0,23,0,9,1,2.745881059966437,144.9316687
5079,143.8931221,15.452500000000002,0.0,0,1,9,1,2.7377708025512915,142.0797469
5080,143.4092205,15.291666666666666,0.0,1,1,9,1,2.7273080177066245,143.8931221
5081,139.8111442,15.098333333333334,0.0,2,1,9,1,2.7145843624531416,143.4092205
5082,136.808945,14.970833333333333,0.0,3,1,9,1,2.7061038637715273,139.8111442
5083,138.0101177,14.670000000000002,0.0,4,1,9,1,2.6858045921548905,136.808945
5084,137.1214299,14.456666666666669,0.0,5,1,9,1,2.671155669179165,138.0101177
5085,150.1507735,14.257499999999999,0.0,6,1,9,1,2.6572830840485566,137.1214299
5086,177.9409996,14.8775,0.0,7,1,9,1,2.69985000453687,150.1507735
5087,250.0069663,16.452499999999997,0.0,8,1,9,1,2.800477441348137,177.9409996
5088,319.8641901,18.27583333333333,0.0,9,1,9,1,2.9055796042314133,250.0069663
5089,370.5327899,20.218333333333334,0.0,10,1,9,1,3.006589783554773,319.8641901
5090,339.8914792,22.294999999999998,0.0,11,1,9,1,3.10436243807944,370.5327899
5091,349.6687194,23.53538461538462,0.0,12,1,9,1,3.1585050169921285,339.8914792
5092,329.7404292,24.6975,0.0,13,1,9,1,3.206702023936492,349.6687194
5093,352.519804,24.87833333333333,0.0,14,1,9,1,3.2139972774170933,329.7404292
5094,354.65885,24.054999999999996,0.0,15,1,9,1,3.1803428751514167,352.519804
5095,339.5513667,22.72083333333333,0.0,16,1,9,1,3.12328227158407,354.65885
5096,283.9920538,21.5725,0.0,17,1,9,1,3.0714193554003257,339.5513667
5097,223.8871635,19.856666666666666,0.0,18,1,9,1,2.988539802972486,283.9920538
5098,189.4654762,18.790833333333335,0.0,19,1,9,1,2.93336916227342,223.8871635
5099,155.9285,17.963333333333335,0.0,20,1,9,1,2.8883326432772956,189.4654762
5100,145.0513883,17.74833333333334,0.0,21,1,9,1,2.876291614799238,155.9285
5101,138.1225118,17.74833333333333,0.0,22,1,9,1,2.8762916147992375,145.0513883
5102,142.744693,17.401538461538465,0.0,23,1,9,1,2.8565586196416985,138.1225118
5103,140.6822508,17.324166666666667,0.0,0,2,9,1,2.8521024438710225,142.744693
5104,140.3404639,17.3075,0.0,1,2,9,1,2.8511399335700434,140.6822508
5105,139.8285161,17.37333333333333,0.0,2,2,9,1,2.8549364635885346,140.3404639
5106,139.186593,17.3575,0.0,3,2,9,1,2.8540246896452914,139.8285161
5107,139.086129,17.30166666666667,0.0,4,2,9,1,2.8508028359770994,139.186593
5108,138.64032,16.913333333333334,0.0,5,2,9,1,2.828102265503026,139.086129
5109,146.9221117,16.585,0.0,6,2,9,1,2.8084986723990157,138.64032
5110,178.4985748,17.132499999999993,0.0,7,2,9,1,2.840977244477841,146.9221117
5111,241.3607833,18.940833333333337,0.0,8,2,9,1,2.941320085382068,178.4985748
5112,290.4625633,20.4425,0.0,9,2,9,1,3.017616067053995,241.3607833
5113,314.6295971,20.375833333333333,0.0,10,2,9,1,3.0143495580860535,290.4625633
5114,339.8502471,21.405,0.0,11,2,9,1,3.0636245395969093,314.6295971
5115,318.4030668,22.569999999999997,0.0,12,2,9,1,3.1166215908294443,339.8502471
5116,328.8850201,22.875833333333333,0.0,13,2,9,1,3.130081040370529,318.4030668
5117,365.1732448,21.993333333333336,0.0,14,2,9,1,3.090739377132326,328.8850201
5118,365.7515407,22.596666666666664,0.0,15,2,9,1,3.1178024027747644,365.1732448
5119,347.8856927,23.435833333333335,0.0,16,2,9,1,3.1542661900910036,365.7515407
5120,303.1880033,22.89333333333333,0.0,17,2,9,1,3.130845747361165,347.8856927
5121,212.8526582,21.52,0.0,18,2,9,1,3.0689827352935835,303.1880033
5122,171.5389312,20.85166666666667,0.0,19,2,9,1,3.037433881101254,212.8526582
5123,136.0485581,20.2075,0.0,20,2,9,1,3.006053822625862,171.5389312
5124,131.1925888,17.159999999999997,0.0,6,3,9,1,2.842581094059816,136.0485581
5125,164.4338241,18.745,0.0,7,3,9,1,2.9309270501878752,131.1925888
5126,223.2843795,20.209166666666665,0.0,8,3,9,1,3.006136296852713,164.4338241
5127,285.4318285,20.956666666666667,0.0,9,3,9,1,3.04245681372686,223.2843795
5128,317.9817459,22.079166666666666,0.0,10,3,9,1,3.0946344791507707,285.4318285
5129,322.6501824,23.785833333333333,0.0,11,3,9,1,3.169090165357665,317.9817459
5130,293.3869029,24.910833333333333,0.0,12,3,9,1,3.215302782481418,322.6501824
5131,304.2912236,25.104166666666668,0.0,13,3,9,1,3.2230338350168646,293.3869029
5132,350.8315902,25.719166666666666,0.0,14,3,9,1,3.247236498637159,304.2912236
5133,355.525352,26.208333333333332,0.0,15,3,9,1,3.2660774263524948,350.8315902
5134,341.8607829,25.0425,0.0,16,3,9,1,3.2205743815037824,355.525352
5135,290.8983259,23.366666666666664,0.0,17,3,9,1,3.1513105053724346,341.8607829
5136,215.7035335,20.993333333333336,0.0,18,3,9,1,3.044204927004769,290.8983259
5137,175.613165,20.57916666666667,0.0,19,3,9,1,3.0242792371986336,215.7035335
5138,133.4743774,20.410833333333336,0.0,20,3,9,1,3.01606580564691,175.613165
5139,131.3508196,18.736666666666668,0.0,6,4,9,1,2.930482388345874,133.4743774
5140,155.8230128,18.701666666666664,0.0,7,4,9,1,2.9286126464487197,131.3508196
5141,232.1486531,18.979166666666668,0.0,8,4,9,1,2.9433418863520675,155.8230128
5142,289.0669509,21.02,0.0,9,4,9,1,3.045474365448805,232.1486531
5143,320.8052029,24.06833333333333,0.0,10,4,9,1,3.1808970069104188,289.0669509
5144,324.0010046,24.941666666666663,0.0,11,4,9,1,3.2165397650706526,320.8052029
5145,322.8345757,25.837500000000002,0.0,12,4,9,1,3.2518269250078866,324.0010046
5146,335.637666,25.504166666666663,0.0,13,4,9,1,3.2388418375090784,322.8345757
5147,369.0683178,26.33583333333334,0.0,14,4,9,1,3.2709304960015686,335.637666
5148,362.7374114,26.254166666666666,0.0,15,4,9,1,3.2678247066000643,369.0683178
5149,342.0594086,25.9075,0.0,16,4,9,1,3.2545325020762355,362.7374114
5150,292.1773582,24.66,0.0,17,4,9,1,3.2051824977361982,342.0594086
5151,157.8322928,17.298333333333336,0.0,6,0,10,1,2.8506101577491427,292.1773582
5152,187.9754695,17.2075,0.0,7,0,10,1,2.845345335290382,157.8322928
5153,271.7932126,19.124166666666664,0.0,8,0,10,1,2.95095280577852,187.9754695
5154,326.7890899,20.556666666666665,0.0,9,0,10,1,3.0231853003352915,271.7932126
5155,354.3028307,21.507499999999997,0.0,10,0,10,1,3.068401711513366,326.7890899
5156,358.5928528,23.25,0.0,11,0,10,1,3.1463051320333655,354.3028307
5157,337.0435341,24.714166666666667,0.0,12,0,10,1,3.20737662847518,358.5928528
5158,352.0880181,25.763333333333335,0.0,13,0,10,1,3.24895229245067,337.0435341
5159,388.9047253,25.607499999999998,0.0,14,0,10,1,3.2428852773285524,352.0880181
5160,386.989421,26.389999999999997,0.0,15,0,10,1,3.2729851505152325,388.9047253
5161,367.2501287,26.565833333333334,0.0,16,0,10,1,3.279625929007478,386.989421
5162,332.1159842,25.735,0.0,17,0,10,1,3.2478519331047178,367.2501287
5163,253.5119041,24.1775,0.0,18,0,10,1,3.185422448608981,332.1159842
5164,192.9965765,22.89833333333333,0.0,19,0,10,1,3.1310641277078015,253.5119041
5165,154.0588231,23.1125,0.0,20,0,10,1,3.140373596713243,192.9965765
5166,144.5505334,22.64,0.0,21,0,10,1,3.119718253334982,154.0588231
5167,144.257932,21.514166666666668,0.0,22,0,10,1,3.0687116328733026,144.5505334
5168,138.0385825,20.539166666666667,0.0,23,0,10,1,3.022333632434274,144.257932
5169,138.0825355,19.322499999999998,0.0,0,1,10,1,2.9612702199988887,138.0385825
5170,136.7327598,18.444166666666664,0.0,1,1,10,1,2.9147481506659534,138.0825355
5171,135.232916,18.579166666666666,0.0,2,1,10,1,2.9220408812854854,136.7327598
5172,136.2984623,18.509999999999998,0.0,3,1,10,1,2.918311126585406,135.232916
5173,135.1378938,18.778333333333332,0.0,4,1,10,1,2.9327037229480193,136.2984623
